"","Date","Value"
"861",2018-10-11,6563.00916667
"862",2018-10-10,6621.71166667
"863",2018-10-09,6618.56769231
"864",2018-10-08,6558.5375
"865",2018-10-07,6581.48666667
"866",2018-10-06,6568.54916667
"867",2018-10-05,6563.62833333
"868",2018-10-04,6470.4025
"869",2018-10-03,6562.64166667
"870",2018-10-02,6590.96833333
"871",2018-10-01,6593.135
"872",2018-09-30,6550.47416667
"873",2018-09-29,6677.3425
"874",2018-09-28,6535.47666667
"875",2018-09-27,6468.63166667
"876",2018-09-26,6412.45916667
"877",2018-09-25,6639.30416667
"878",2018-09-24,6710.445
"879",2018-09-23,6709.3125
"880",2018-09-22,6669.99083333
"881",2018-09-21,6418.56266667
"882",2018-09-20,6335.82666667
"883",2018-09-19,6296.63166667
"884",2018-09-18,6400.60083333
"885",2018-09-17,6480.64416667
"886",2018-09-16,6518.655
"887",2018-09-15,6499.0625
"888",2018-09-14,6450.17923077
"889",2018-09-13,6273.1375
"890",2018-09-12,6296.32083333
"891",2018-09-11,6297.87769231
"892",2018-09-10,6286.42583333
"893",2018-09-09,6366.1075
"894",2018-09-08,6444.80416667
"895",2018-09-07,6433.27166667
"896",2018-09-06,7113.06923077
"897",2018-09-05,7326.8525
"898",2018-09-04,7260.94923077
"899",2018-09-03,7247.93538462
"900",2018-09-02,7100.94666667
"901",2018-09-01,6981.94615385
"902",2018-08-31,6932.6625
"903",2018-08-30,7054.27642857
"904",2018-08-29,7000.04
"905",2018-08-28,6719.26615385
"906",2018-08-27,6673.27416667
"907",2018-08-26,6719.42923077
"908",2018-08-25,6543.64571429
"909",2018-08-24,6434.88166667
"910",2018-08-23,6575.22916667
"911",2018-08-22,6401.24615385
"912",2018-08-21,6434.55916667
"913",2018-08-20,6404.06333333
