Time,bitfinex,bitflyer,bithumb,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2018-12-09 00:00:00 UTC,25076.17089525,9657.40353447997,4027.28706773,9190.81328579,,13364.5101067999,,14360.48205834,,62673.18358703646
2018-12-10 00:00:00 UTC,22583.8862372,7956.09179080997,4161.97795335,12383.43343512,,15033.3429128699,,15027.67741978,,64501.812443419105
2018-12-11 00:00:00 UTC,24035.3179549301,8321.35389890997,3919.3928792,10703.11929339,,13041.18665796,,13546.05581782,,61013.13956898678
2018-12-12 00:00:00 UTC,20923.72894703,9092.75123443997,3831.43683739,9564.76918787,,12395.86542182,,14310.54484413,,61371.72702243043
2018-12-13 00:00:00 UTC,22233.21025635,8805.12275816997,4589.67168637,14402.62020653,,15668.19556074,,18768.84009874,,54811.376287821775
2018-12-14 00:00:00 UTC,28536.55045632,9316.49068466998,4896.41039261,16741.53408013,,17706.45045974,,21364.1658469699,,48912.95622279904
2018-12-15 00:00:00 UTC,17715.85822934,4625.6250366,2879.82820795,6514.91429467,,11314.79776052,,9957.02172881999,,40373.27603995303
2018-12-16 00:00:00 UTC,19094.090433,3636.00699569,2510.07838671,6583.20071476,,8447.71118056999,,8036.34309061999,,35455.043305565334
2018-12-17 00:00:00 UTC,35677.9586386603,13885.95099678,7067.51787622999,19394.73447806,,25260.8079902499,,29883.42292242,,39125.141525465086
2018-12-18 00:00:00 UTC,29406.3654900501,10355.67391377,5940.21015917999,16530.57877399,,19008.1205086,,20428.56382646,,24768.23604699526
2018-12-19 00:00:00 UTC,55227.7920851602,18330.6055218599,10010.39853581,25119.49379181,,32849.7529849299,,38720.55722138,,36198.66886007959
2018-12-20 00:00:00 UTC,65825.6191601406,24590.2576516298,11745.77837133,29826.66417382,,35416.9252384699,,37747.6483793599,,35861.73560141472
2018-12-21 00:00:00 UTC,43500.56909833,18547.0376725999,10224.85104055,19697.53802598,,25206.8440541599,,29037.4396424799,,29972.80035726371
2018-12-22 00:00:00 UTC,19530.57495368,7070.45552821999,4956.7677712,8481.45542166,,11093.10540324,,15770.66710844,,18194.077142191538
2018-12-23 00:00:00 UTC,24471.95474081,9327.77457402997,5898.57343108,5253.44296775,,11464.70436787,,12573.91416302,,15239.90132557332
2018-12-24 00:00:00 UTC,37978.6688303103,12787.91216481,8970.79291465,14748.02207236,,23240.2394124799,,25393.56044888,,26237.08377140466
2018-12-25 00:00:00 UTC,33700.6234505502,16136.04951248,7408.13308700999,13446.43797795,,16582.59041594,,21643.25633328,,22113.088960751265
2018-12-26 00:00:00 UTC,19116.34729882,10267.58392001,4832.92159883,10907.92429387,,10389.4635362,,12712.92485991,,20706.39072783545
2018-12-27 00:00:00 UTC,23582.4923500002,9170.14575163998,4980.57206701,14577.19630493,,14960.89571867,,15442.68328096,,25407.971551398114
2018-12-28 00:00:00 UTC,26909.6865076302,9216.70482844997,7165.09307476999,15915.78063318,,19926.74828891,,19218.0902058499,,26963.38139453577
2018-12-29 00:00:00 UTC,18700.9324700001,5574.49268643998,4121.86298964,9003.41850196,,11466.98562073,,10852.29851503,,22380.498075236912
2018-12-30 00:00:00 UTC,17725.3610776,7109.54210645999,3679.33941099,6467.54010876,,9822.76829925998,,9915.52865567999,,19764.034370460133
2018-12-31 00:00:00 UTC,15775.19603252,6652.01272178999,4364.7234182,8741.64902499,,14956.98810641,,12610.47212757,,21214.943428460752
2019-01-01 00:00:00 UTC,13846.04515227,3682.24848832,3234.32654835,5864.72158875,,12220.75432395,,9735.31428119999,,17957.746686019425
2019-01-02 00:00:00 UTC,19422.83895756,7183.75172841998,3856.86664843,6653.49468208,,11964.96894165,,12041.2883485,,21470.040713173123
2019-01-03 00:00:00 UTC,10747.50340994,4342.50140154,15366.09678279,7008.94505039,,10676.55405135,,11462.29183123,,20241.374951900776
2019-01-04 00:00:00 UTC,13228.66046469,6549.05022663998,19204.86732375,9101.7730512,,10665.36786842,,10185.92107934,,17737.279958646777
2019-01-05 00:00:00 UTC,14873.96222452,3706.24722349,24865.9376431798,4086.44745731,,7679.98223112999,,7236.90528196,,15137.273047323943
2019-01-06 00:00:00 UTC,25178.9693585602,6022.24252650998,22363.95987227,6218.25459032,,11732.25324385,,14437.59634767,,18194.97405673315
